question,answer
How does the 500 device limit work?,You can add up to 500 UniFi network devices to your UniFi Cloud Console right now. We will provide additional plans to allow for more devices in the future.
What happens when my credit card cannot be charged?,"If the customer’s payment method fails on the billing date for any reason, it will be retried three more  times (after one, two and seven days). The customer will get email notifications prompting for an updated payment method.  If all three retries fail, the subscription will be canceled and the Cloud Console terminated."
How do I add a Cloud Console to unifi.ui.com?,"Cloud Consoles will be made available for users when they first login to unifi.ui.com if they have no other consoles managed. Additionally, you can click on Display Options > UniFi OS Console dropdown > hovering over 'Cloud' will reveal a '+' button used to add a new Cloud Console."
How do I migrate from my current UniFi application host?,"There are two ways to migrate to your new cloud console. 1) Export Site - Requires Multi-Site Management: In your original UniFi Network Application, goto Network Settings > System > Export Site > Select devices to migrate > paste Inform URL of new Cloud console. 2) Backup Restore: Download Migration file in original UniFi Network Application, enable 'Override Inform Host' field, input Inform URL of new Cloud Console, restore your backup file to new Cloud Console."
What happens when I cancel my subscription?,"When you cancel your subscription, your UniFi Cloud Console remains active until the end of the prepaid period. At the end of the billing period, your UniFi Cloud Console will be terminated."
How do I adopt UniFi devices to the Cloud Console?,"The UniFi device adoption process is the same on Cloud Console as UniFi OS Console. For more specific instructions, please refer to this guide (https://help.ui.com/hc/en-us/articles/204909754)."
Which apps are supported on the Cloud Console?,"Currently, only the Network application is supported on the Cloud Console."
How to create users in the UniFi Talk application?,"To create new users in the UniFi Talk application: Open the Users tab and click the Add User button in the top-right corner of the screen. Type the user's first name, last name, and extension in the respective text fields. If you do not assign an extension, the UniFi Talk application will do so automatically. Select the user's phone number from the drop-down menu and click Save . If no phone number is selected, the user will only be able to make internal calls unless they are added to a group with a number assigned."
How to assign phones to users in the UniFi Talk application?,"A user must be assigned to each phone managed by the UniFi Talk application. You can assign a phone to a user on the Devices page or in the user's profile panel. To assign a phone to a user on the Devices page: Click the Devices icon in the left navigation bar. Hover your cursor over the phone you'd like to assign to the user, then click the Assign link when it appears. Select the user from the pop-up window's drop-down field, then click Assign . To assign a phone to a user via their profile panel: Click the Users icon in the left navigation bar. Click the user that you’d like to assign a phone to. Click the Manage tab, then scroll down and click the Manage drop-down option. Select the phone that you'd like to assign to the user from the Reassign Device drop-down field. Click Save at the bottom of the panel."
How to assign numbers to users in the UniFi Talk application?,"If you wish to purchase additional numbers in the UniFi Talk application before you start assigning, see UniFi Talk - Manage UniFi Talk subscriptions . To assign a number to a user: Click the Users icon in the left navigation bar. Click the user to whom you’d like to assign a number. Click the Manage tab, then scroll down and click the Manage drop-down option. Select the number that you’d like to assign to the user from the Change Number drop-down field. Click Save at the bottom of the panel. Note: Users without a number assigned will not be able to make or receive external calls, but will still have an active extension that can make and receive unlimited internal calls."
